"Les Rezéens et le bruit du trafic aérien"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"Détails de la soumission"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"Séquentiel"|"SID"|"Heure de soumission"|"Heure de complétion"|"Heure de modification"|"Brouillon"|"Adresse IP"|"UID"|"Nom d'utilisateur"|"1/ En pensant aux 12 derniers mois, lorsque vous êtes chez vous, dans quelle mesure le bruit des avions vous gêne-t-il ?"|"2/ En pensant aux 12 derniers mois, lorsque vous êtes chez vous, durant la nuit ou lorsque vous souhaitez dormir, dans quelle mesure le bruit des avions vous gêne-t-il ?"|"3/ Êtes-vous... "|"4/ Quelle est votre tranche d'âge ?"|"5/ En ce qui concerne le bruit en général, estimez-vous que par rapport aux personnes de votre entourage, vous êtes..."|"6/ Dans quel quartier habitez-vous ?"|"7/ Êtes-vous situés ""oui"" ou ""non"" dans la zone III du Plan de Gêne Sonore ? "|" Souhaitez-vous nous faire part de vos commentaires sur cette enquête ou plus généralement sur le bruit des avions ?"
"206"|"22268743"|"09/06/2024 - 10:33"|"09/06/2024 - 10:33"|"09/06/2024 - 10:33"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Moyennement"|"une femme"|"40-54"|"beaucoup moins sensible"|"La Houssais"|"Non"|"Le plus important est le respect des tranches horaires de traffic aérien pour les compagnies en particulier la nuit "
"207"|"22268745"|"09/06/2024 - 10:33"|"09/06/2024 - 10:33"|"09/06/2024 - 10:33"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"un homme"|"25-39"|"aussi sensible"|"La Blordière"|"Non"|"Nous sommes impactés par le décollage des avions surtout le matin, le soir et les jours de la semaine lundi, vendredi et dimanche. Les avions ne respectent pas le couvre feu.
Nous venons de nous installer à Rezé, et avions auparavant consulté la carte du bruit aérien qui pourtant ne reflète pas la réalité. La zone impactée par le bruit est beaucoup plus étendue.
Merci pour votre intérêt "
"208"|"22268780"|"09/06/2024 - 10:38"|"09/06/2024 - 10:38"|"09/06/2024 - 10:38"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"une femme"|"40-54"|"aussi sensible"|"Autre"|"Non"|""
"209"|"22268793"|"09/06/2024 - 10:40"|"09/06/2024 - 10:40"|"09/06/2024 - 10:40"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Moyennement"|"un homme"|"55-64"|"un peu moins sensible"|"La Houssais"|"Non"|"Le respect des horaires de couvre feu doit être un impératif. "
"210"|"22268879"|"09/06/2024 - 10:56"|"09/06/2024 - 10:56"|"09/06/2024 - 10:56"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Beaucoup"|"un homme"|"25-39"|"un peu moins sensible"|"La Houssais"|"Non"|"J’habite163 rue Maurice Jouault, et certains avions passent clairement au-dessus de ma maison, alors que le couloir de vol n’est clairement pas dans cette zone !!!!"
"211"|"22268896"|"09/06/2024 - 10:59"|"09/06/2024 - 10:59"|"09/06/2024 - 10:59"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Légèrement"|"une femme"|"55-64"|"aussi sensible"|"La Blordière"|"Oui"|"Je ne sais pas si nous sommes dans la zone de gene. Pas trouvé. "
"212"|"22268925"|"09/06/2024 - 11:04"|"09/06/2024 - 11:04"|"09/06/2024 - 11:04"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"une femme"|"25-39"|"beaucoup plus sensible"|"Château"|"Non"|"Même les fenêtres double vitrage fermées, le bruit des avions est gênant.
Quand on est dehors et qu'un avion passe, on doit s'arrêter de parler sinon on ne s'entend pas. 
En été, dormir la fenêtre ouverte est infernal à cause des avions. Ils nous réveillent plus tôt que d'habitude, même en dormant avec des bouchons."
"213"|"22268963"|"09/06/2024 - 11:10"|"09/06/2024 - 11:10"|"09/06/2024 - 11:10"|"0"|"0.0.0.0"|"0"|"Anonymous"|""|""|"une femme"|"40-54"|""|"Ragon"|"Non"|""
"214"|"22268964"|"09/06/2024 - 11:10"|"09/06/2024 - 11:10"|"09/06/2024 - 11:10"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Moyennement"|"un homme"|"40-54"|"aussi sensible"|"Rezé-Hôtel de ville"|"Non"|""
"215"|"22268975"|"09/06/2024 - 11:11"|"09/06/2024 - 11:11"|"09/06/2024 - 11:11"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"une femme"|"55-64"|"un peu plus sensible"|"Château"|"Non"|""
"216"|"22269160"|"09/06/2024 - 11:35"|"09/06/2024 - 11:35"|"09/06/2024 - 11:35"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"un homme"|"40-54"|"aussi sensible"|"Pont-Rousseau"|"Non"|"Il faudrait élargir le couvre feu et établir un quota de vols"
"217"|"22269267"|"09/06/2024 - 11:54"|"09/06/2024 - 11:54"|"09/06/2024 - 11:54"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Extrêmement"|"un homme"|"25-39"|"aussi sensible"|"Rezé-Hôtel de ville"|"Non"|""
"218"|"22269368"|"09/06/2024 - 12:12"|"09/06/2024 - 12:12"|"09/06/2024 - 12:12"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Beaucoup"|"une femme"|"40-54"|"beaucoup moins sensible"|"Autre"|"Non"|"Je suis en-dehors de toutes zones du plan Gêne Sonore, pourrant les avions passent presque au-dessus de notre tête.
Impossible de dormir fenêtres ouvertes. De plus, les vols matinaux nous réveillent en plein week-end très tôt le matin. Impossible de se reposer...même en pleine journée."
"219"|"22269597"|"09/06/2024 - 12:54"|"09/06/2024 - 12:54"|"09/06/2024 - 12:54"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Moyennement"|"un homme"|"40-54"|"aussi sensible"|"La Houssais"|"Oui"|""
"220"|"22269633"|"09/06/2024 - 13:03"|"09/06/2024 - 13:03"|"09/06/2024 - 13:03"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Extrêmement"|"un homme"|"25-39"|"aussi sensible"|"Château"|"Non"|""
"221"|"22269649"|"09/06/2024 - 13:05"|"09/06/2024 - 13:05"|"09/06/2024 - 13:05"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Extrêmement"|"une femme"|"55-64"|"aussi sensible"|"Ragon"|"Oui"|""
"222"|"22269688"|"09/06/2024 - 13:13"|"09/06/2024 - 13:13"|"09/06/2024 - 13:13"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Moyennement"|"une femme"|"40-54"|"aussi sensible"|"Ragon"|"Non"|"L'hiver, on supporte car les fenêtres sont fermées et qu'il y a moins d'avions.
Au printemps et durant l'été j'ai l'impression de vivre dans l'aéroport. "
"223"|"22269764"|"09/06/2024 - 13:27"|"09/06/2024 - 13:27"|"09/06/2024 - 13:27"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Extrêmement"|"une femme"|"40-54"|"aussi sensible"|"La Houssais"|"Oui"|"Impact sur le sommeil considérable et donc impact sur la santé "
"224"|"22269975"|"09/06/2024 - 14:12"|"09/06/2024 - 14:12"|"09/06/2024 - 14:12"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Beaucoup"|"une femme"|"25-39"|"aussi sensible"|"La Blordière"|"Non"|"Avions du matin 6h gênant pour dormir. Avions le dimanche qui survolent bas créant un bruit sourd très gênant (nécessitant parfois l'arrêt des conversations). On ne peut pas empêcher la circulation des Avions mais une regulation à des heures / plages horaires adaptées serait opportun."
"225"|"22270003"|"09/06/2024 - 14:15"|"09/06/2024 - 14:15"|"09/06/2024 - 14:15"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Beaucoup"|"un homme"|"25-39"|"aussi sensible"|"La Blordière"|"Non"|"Parfois des avions passent juste au-dessus de notre maison, nous n'avons pas l'impression que les trajectoires de décalage soient respectées. Les decolages de 6h00 et 23h30 sont très sonores et perturbent le sommeil. "
"226"|"22270548"|"09/06/2024 - 15:47"|"09/06/2024 - 15:47"|"09/06/2024 - 15:47"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Moyennement"|"un homme"|"25-39"|"aussi sensible"|"La Houssais"|"Non"|""
"227"|"22270779"|"09/06/2024 - 16:22"|"09/06/2024 - 16:22"|"09/06/2024 - 16:22"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Extrêmement"|"Je préfère ne pas le dire"|"25-39"|"un peu moins sensible"|"La Houssais"|"Non"|"Trop tôt le matin les avions décollent. Et trop d'avions en général pendant les journées.
Ça serait bien de minimiser le nombre d'avion le matin jusqu'à 8h.
Et d'avoir des avions qui font moins de bruitsnet qui polluent moins. Faudrait plus d'avion de vol intérieur."
"228"|"22270889"|"09/06/2024 - 16:38"|"09/06/2024 - 16:38"|"09/06/2024 - 16:38"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Extrêmement"|"une femme"|"25-39"|"un peu moins sensible"|"Autre"|"Oui"|"Je vis dans l'éco quartier de la Jaguère. Entendre les avions dans la journée n'est pas le plus gênant, ce sont les avions d'après 22h et ceux qui décollent dès 6h du matin , dimanche compris sont extrêmement dérangeants. D'autant plus qu'il ne s'agit pas d'un avion mais de plusieurs à chaque fois. De plus, les avions passent de plus en plus bas en décollant, ce qui augmentent la nuisance sonore. Quand est-il de couvre-feu ? Comment se fait-il que les compagnies aériennes le respectent quand bon leur semble?!"
"229"|"22270958"|"09/06/2024 - 16:45"|"09/06/2024 - 16:45"|"09/06/2024 - 16:45"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Moyennement"|"une femme"|"25-39"|"aussi sensible"|"Château"|"Non"|""
"230"|"22270961"|"09/06/2024 - 16:45"|"09/06/2024 - 16:45"|"09/06/2024 - 16:45"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Moyennement"|"un homme"|"25-39"|"un peu plus sensible"|"Ragon"|"Non"|""
"231"|"22271012"|"09/06/2024 - 16:52"|"09/06/2024 - 16:52"|"09/06/2024 - 16:52"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Moyennement"|"une femme"|"40-54"|"aussi sensible"|"La Blordière"|"Non"|"La gène est beaucoup plus importante au printemps et en été lorsque l'on vit les fenêtres ouvertes ... et c'est à cette période qu'il y a le plus d'avions ..."
"232"|"22271373"|"09/06/2024 - 17:33"|"09/06/2024 - 17:33"|"09/06/2024 - 17:33"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Extrêmement"|"une femme"|"40-54"|"aussi sensible"|"Trentemoult-les Isles"|"Non"|"Oui. Les avions passent au dessus de notre terrasse. Je ne comprends pas pourquoi on est pas dans la zone 3. La carte est erronée et plus d’actualité. De plus les avions ne respectent pas le couvre feu . Certains passent très bas. Le couvre feu est trop court il devrait etre de 7h à 22h. La fréquence est aussi horrible, j’ai comptabilisenparfoisntoutes le s3 min. On ne peut pas manger en extérieur…. Bref les nuisances sont devenus énormes et dangereuses. De plus en terme de pollution on ne sait pas quelles sont les conséquences sur notre santé. J’habitais un coin de paradis que la fréquence des avions a gâché au profit du tourisme de masse polluant."
"233"|"22271402"|"09/06/2024 - 17:36"|"09/06/2024 - 17:36"|"09/06/2024 - 17:36"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Moyennement"|"une femme"|"65-79"|"aussi sensible"|"Château"|""|""
"234"|"22271472"|"09/06/2024 - 17:45"|"09/06/2024 - 17:45"|"09/06/2024 - 17:45"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Beaucoup"|"une femme"|"40-54"|"aussi sensible"|"La Houssais"|"Non"|"J'en ai mare des salves d'avion le week-end,  je n'arrive pas à profiter, et dès 6h tous les matins. "
"235"|"22271644"|"09/06/2024 - 18:08"|"09/06/2024 - 18:08"|"09/06/2024 - 18:08"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Pas du tout"|"une femme"|"40-54"|"un peu moins sensible"|"La Houssais"|"Non"|"Gênant le soir surtout le weekend où les décollages (bruit qui me gène) sont plus nombreux "
"236"|"22271786"|"09/06/2024 - 18:25"|"09/06/2024 - 18:25"|"09/06/2024 - 18:25"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Beaucoup"|"un homme"|"25-39"|"un peu moins sensible"|"La Houssais"|"Oui"|"Bruit très problématique notamment avec certains avions très bruyants. Réveil des enfants la nuit car non respect du couvre feu ...beaucoup d avions encore à plus de 23h. 
Passage très bas de nombreux appareils. "
"237"|"22271864"|"09/06/2024 - 18:34"|"09/06/2024 - 18:34"|"09/06/2024 - 18:34"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"un homme"|"25-39"|"aussi sensible"|"Rezé-Hôtel de ville"|"Non"|"Atterrissage et décollage d'avions. Et rue Georges Boutin trop fréquenté."
"238"|"22271870"|"09/06/2024 - 18:35"|"09/06/2024 - 18:35"|"09/06/2024 - 18:35"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Beaucoup"|"une femme"|"25-39"|"un peu moins sensible"|"Rezé-Hôtel de ville"|"Non"|"On est obligé d'arrêter de parler quand on est dans le jardin, les avions passent toutes les 5 minutes, 
et fenêtres fermées ça nous gêne pour dormir. 
On est rue Georges Boutin, pas loin de la zone 3, mais aussi gêné qu'eux. "
"239"|"22272144"|"09/06/2024 - 19:07"|"09/06/2024 - 19:07"|"09/06/2024 - 19:07"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Beaucoup"|"une femme"|"40-54"|"aussi sensible"|"La Houssais"|"Oui"|"Que le couvre feu soit respecté surtout en été on dors les fenêtres ouvertes ce n'est pas possible d'être réveillé par les avions à plus de minuit "
"240"|"22272396"|"09/06/2024 - 19:38"|"09/06/2024 - 19:38"|"09/06/2024 - 19:38"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"une femme"|"25-39"|"aussi sensible"|"La Houssais"|"Non"|""
"241"|"22273048"|"09/06/2024 - 20:58"|"09/06/2024 - 20:58"|"09/06/2024 - 20:58"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"un homme"|"40-54"|"un peu moins sensible"|"Château"|"Non"|"Nous sommes situé en zone ou normalement les avions ne devraient pas passer près rue du moulin à huile . Or nous constatons régulièrement que les avions passe au dessus de notre maison alors que nous ne sommes pas dans le PGS . En terme d inconfort acoustique surtout les 4 premiers avions à partir de 6h10 c est assez important . "
"242"|"22273086"|"09/06/2024 - 21:02"|"09/06/2024 - 21:02"|"09/06/2024 - 21:02"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Extrêmement"|"un homme"|"40-54"|"aussi sensible"|"La Houssais"|"Oui"|""
"243"|"22273156"|"09/06/2024 - 21:10"|"09/06/2024 - 21:10"|"09/06/2024 - 21:10"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Pas du tout"|"une femme"|"40-54"|"un peu moins sensible"|"La Houssais"|"Oui"|"La gêne est surtout en extérieur le week-end."
"244"|"22274008"|"09/06/2024 - 22:51"|"09/06/2024 - 22:51"|"09/06/2024 - 22:51"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Légèrement"|"Légèrement"|"une femme"|"55-64"|"un peu moins sensible"|"Trentemoult-les Isles"|"Non"|"Tôt le matin le plus gênant "
"245"|"22274115"|"09/06/2024 - 23:05"|"09/06/2024 - 23:05"|"09/06/2024 - 23:05"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Pas du tout"|"Pas du tout"|"un homme"|"25-39"|"beaucoup moins sensible"|"La Houssais"|"Oui"|""
"246"|"22274133"|"09/06/2024 - 23:08"|"09/06/2024 - 23:08"|"09/06/2024 - 23:08"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Pas du tout"|"Pas du tout"|"une femme"|"25-39"|"beaucoup plus sensible"|"La Houssais"|"Oui"|""
"247"|"22274394"|"10/06/2024 - 00:11"|"10/06/2024 - 00:11"|"10/06/2024 - 00:11"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Pas du tout"|"un homme"|"25-39"|"aussi sensible"|"Autre"|"Non"|""
"248"|"22274609"|"10/06/2024 - 05:37"|"10/06/2024 - 05:37"|"10/06/2024 - 05:37"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Légèrement"|"Pas du tout"|"une femme"|"65-79"|"beaucoup moins sensible"|"Trentemoult-les Isles"|"Non"|""
"249"|"22274951"|"10/06/2024 - 07:47"|"10/06/2024 - 07:47"|"10/06/2024 - 07:47"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Légèrement"|"un homme"|"55-64"|"aussi sensible"|"Ragon"|"Oui"|""
"250"|"22275688"|"10/06/2024 - 08:45"|"10/06/2024 - 08:45"|"10/06/2024 - 08:45"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"une femme"|"40-54"|"aussi sensible"|"Trentemoult-les Isles"|"Non"|""
"251"|"22276531"|"10/06/2024 - 09:20"|"10/06/2024 - 09:20"|"10/06/2024 - 09:20"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Légèrement"|"une femme"|"40-54"|"aussi sensible"|"Trentemoult-les Isles"|"Non"|""
"252"|"22277008"|"10/06/2024 - 09:35"|"10/06/2024 - 09:35"|"10/06/2024 - 09:35"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"un homme"|"40-54"|"aussi sensible"|"Pont-Rousseau"|"Non"|"Je constate que de plus en plus d’avions se rapprochent de notre zone d’habitation en phase de décollage. Il y a encore 4 ans lors de notre arrivée on les voyait au loin, maintenant certains passent au dessus de chez nous. J’habite quartier Saint Paul "
"253"|"22277287"|"10/06/2024 - 09:44"|"10/06/2024 - 09:44"|"10/06/2024 - 09:44"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Moyennement"|"une femme"|"40-54"|"aussi sensible"|"Trentemoult-les Isles"|"Non"|""
"254"|"22277598"|"10/06/2024 - 09:53"|"10/06/2024 - 09:53"|"10/06/2024 - 09:53"|"0"|"0.0.0.0"|"0"|"Anonymous"|""|""|"un homme"|"55-64"|""|"La Blordière"|""|""
"255"|"22278227"|"10/06/2024 - 10:14"|"10/06/2024 - 10:14"|"10/06/2024 - 10:14"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Extrêmement"|"une femme"|"25-39"|"aussi sensible"|"La Houssais"|"Non"|"Les avions ont clairement dévié de leur trajectoire habituelle depuis la reprise d'après COVID. 
Nous les voyons faire leur virage au décollage beaucoup plus loin dans Rezé (plus à l'Est), ils passent très souvent juste au dessus du quartier de la coquetière, ce qui n'étais pas le cas auparavant. De plus le traffic a augmenté et les horaires du couvre-feu de 00h00 à 6h00 ne respectent ni les recommandations de l'OMS, ni les besoins évidents en sommeil d'un individu (sans même parler des populations plus fragiles ou des enfants). Il créée aussi des effets ""pervers"" comme les décollage à la chaîne à 6h00 du matin. De plus des entorses à ce couvre)feu sont très régulièrement constatées. 
Le niveau de bruit réveille les habitants malgré les fenêtres et volets fermés, en journée le bruit oblige à interrompre les conversations, empêche de suivre une émission de radio...
Au delà du bruit, quel impact sur l'exposition à la pollution ? 
En 2024, dans un contexte d'urgence écologique, cela semble totalement aberrant de continuer à développer cet aéroport et le nombre de vols par an !"
"256"|"22278507"|"10/06/2024 - 10:22"|"10/06/2024 - 10:22"|"10/06/2024 - 10:22"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"un homme"|"40-54"|"aussi sensible"|"La Houssais"|"Non"|"Ces deux/trois dernières années, la gène liée au bruit aérien a considérablement augmenté, j'ai constaté que les avions effectuent un virage beaucoup plus tardif qu'auparavant lorsqu'ils décollent en direction de Rezé, et que leur altitude est plus basse lors de ce virage qu'auparavant. Ce qui engendre plus de nuisance sonores. Les périodes les plus gênantes étant la nuit. Entre 23h et 7h, il ne devrait pas y avoir d'avions..."
"257"|"22278896"|"10/06/2024 - 10:34"|"10/06/2024 - 10:34"|"10/06/2024 - 10:34"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Pas du tout"|"une femme"|"25-39"|"un peu moins sensible"|"Ragon"|"Oui"|""
"258"|"22279235"|"10/06/2024 - 10:46"|"10/06/2024 - 10:46"|"10/06/2024 - 10:46"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Moyennement"|"une femme"|"40-54"|"aussi sensible"|"Château"|"Non"|""
"259"|"22279279"|"10/06/2024 - 10:48"|"10/06/2024 - 10:48"|"10/06/2024 - 10:48"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Légèrement"|"Pas du tout"|"une femme"|"18-24"|"un peu moins sensible"|"Autre"|"Non"|""
"260"|"22279514"|"10/06/2024 - 10:56"|"10/06/2024 - 10:56"|"10/06/2024 - 10:56"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|""|"un homme"|"65-79"|"aussi sensible"|"Ragon"|"Oui"|"Mesure au sonomètre 65 à 80 DBA au passage d'avion.
Des avions ne respectent pas le couvre-feu. "
"261"|"22279760"|"10/06/2024 - 11:04"|"10/06/2024 - 11:04"|"10/06/2024 - 11:04"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Extrêmement"|"une femme"|"40-54"|"aussi sensible"|"La Blordière"|"Non"|"Je suis systématiquement réveillée entre 6h10 et 6h20 par les avions 
Il s agit vraiment d une pollution sonore
Nous les entendons toute la journée 
"
"262"|"22279761"|"10/06/2024 - 11:04"|"10/06/2024 - 11:04"|"10/06/2024 - 11:04"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Légèrement"|"Pas du tout"|"un homme"|"25-39"|"aussi sensible"|"Pont-Rousseau"|"Non"|""
"263"|"22279767"|"10/06/2024 - 11:04"|"10/06/2024 - 11:04"|"10/06/2024 - 11:04"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Extrêmement"|"un homme"|"65-79"|"beaucoup plus sensible"|"La Houssais"|""|"Ras le bol des avions....
Le trafic aérien rien est insupportable compte tenu du bruit et de la pollution, particulièrement lorsque les vents sont au nord/ nord-est.
Résultat me concernant : je pense déménager de Rezé pour une commune plus tranquille."
"264"|"22279994"|"10/06/2024 - 11:11"|"10/06/2024 - 11:11"|"10/06/2024 - 11:11"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Extrêmement"|"une femme"|"40-54"|"aussi sensible"|"La Houssais"|"Oui"|"Depuis 10 ans que j'habite Rezé j'ai énormément perdu en qualité de sommeil et cela se ressent sur ma santé."
"265"|"22280070"|"10/06/2024 - 11:14"|"10/06/2024 - 11:14"|"10/06/2024 - 11:14"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Pas du tout"|"une femme"|"40-54"|"un peu moins sensible"|"Pont-Rousseau"|"Oui"|"Impossible d’ouvrir le plan difficile de savoir si je suis dans la zone. 
Je me suis habitué au bruit avion tramway bus voiture… Rezé est une ville bruyante. "
"266"|"22280078"|"10/06/2024 - 11:14"|"10/06/2024 - 11:14"|"10/06/2024 - 11:14"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Pas du tout"|"Pas du tout"|"une femme"|"40-54"|"un peu moins sensible"|"Château"|"Non"|""
"267"|"22280332"|"10/06/2024 - 11:23"|"10/06/2024 - 11:23"|"10/06/2024 - 11:23"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Moyennement"|"un homme"|"40-54"|"aussi sensible"|"Château"|"Non"|"Avec la hausse du trafic aérien et le sens de décollage des avions au dessus de Rezé, le plan de gêne sonore devrait sérieusement être revu. Je suis volontaire pour participer ou mettre un sonomètre chez moi. "
"268"|"22280566"|"10/06/2024 - 11:30"|"10/06/2024 - 11:30"|"10/06/2024 - 11:30"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Pas du tout"|"une femme"|"40-54"|"un peu plus sensible"|"La Blordière"|"Non"|""
"269"|"22280606"|"10/06/2024 - 11:31"|"10/06/2024 - 11:31"|"10/06/2024 - 11:31"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Moyennement"|"un homme"|"40-54"|"aussi sensible"|"Château"|"Non"|""
"270"|"22280805"|"10/06/2024 - 11:37"|"10/06/2024 - 11:37"|"10/06/2024 - 11:37"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Extrêmement"|"une femme"|"40-54"|"aussi sensible"|"Pont-Rousseau"|"Oui"|"Quartier St Paul le bruit des avions qui passent juste au dessus est vraiment de plus en plus problématique."
"271"|"22280836"|"10/06/2024 - 11:38"|"10/06/2024 - 11:38"|"10/06/2024 - 11:38"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Moyennement"|"un homme"|"40-54"|"un peu moins sensible"|"La Blordière"|"Non"|""
"272"|"22280981"|"10/06/2024 - 11:43"|"10/06/2024 - 11:43"|"10/06/2024 - 11:43"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|""|"une femme"|"55-64"|""|"Autre"|"Oui"|"c'est de pire en pire, les avions passent pratiquement au dessus de ma maison, j'ai eu les fonds d'espace 9 pour changer mes ouvertures ce qui a été fait en Avril 2024, mais je ne vois aucun changement vu que les grilles d'aération des fenêtres sont énormes, le bruit passent encore plus !!! même avec des boules quiès, ça me réveille le matin. Et bonjour la pollution."
"273"|"22281347"|"10/06/2024 - 11:54"|"10/06/2024 - 11:54"|"10/06/2024 - 11:54"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Pas du tout"|"Pas du tout"|"une femme"|"40-54"|"aussi sensible"|"Pont-Rousseau"|"Non"|""
"274"|"22281352"|"10/06/2024 - 11:54"|"10/06/2024 - 11:54"|"10/06/2024 - 11:54"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"une femme"|"55-64"|"aussi sensible"|"Château"|"Non"|"La gêne est surtout le matin de juin à octobre quand on dort la fenêtre ouverte. Un décollage toutes les 10 minutes à 6h du matin et aussi dans la journée quand on profite du soleil dehors."
"275"|"22281661"|"10/06/2024 - 12:04"|"10/06/2024 - 12:04"|"10/06/2024 - 12:04"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Moyennement"|"une femme"|"40-54"|"un peu moins sensible"|"La Blordière"|"Non"|"Je trouve que le bruit côté Blordière s’est accentué depuis 2 ans. Les avions nous survolent plus qu’avant."
"276"|"22281810"|"10/06/2024 - 12:10"|"10/06/2024 - 12:10"|"10/06/2024 - 12:10"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Beaucoup"|"un homme"|"40-54"|"aussi sensible"|"La Blordière"|"Non"|"Non respect du couvre feu de 23h qui dérange le plus"
"277"|"22281875"|"10/06/2024 - 12:12"|"10/06/2024 - 12:12"|"10/06/2024 - 12:12"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"une femme"|"25-39"|"beaucoup moins sensible"|"Pont-Rousseau"|"Oui"|""
"278"|"22281922"|"10/06/2024 - 12:13"|"10/06/2024 - 12:13"|"10/06/2024 - 12:13"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Beaucoup"|"une femme"|"40-54"|"aussi sensible"|"La Houssais"|"Non"|""
